Cnty Fips,Fips,Name,State Fips,State Name,Geometry
77,27077,Lake of the Woods,27,Minnesota,Polygon
19,53019,Ferry,53,Washington,Polygon
65,53065,Stevens,53,Washington,Polygon
47,53047,Okanogan,53,Washington,Polygon
51,53051,Pend Oreille,53,Washington,Polygon
21,16021,Boundary,16,Idaho,Polygon
53,30053,Lincoln,30,Montana,Polygon
29,30029,Flathead,30,Montana,Polygon
35,30035,Glacier,30,Montana,Polygon
101,30101,Toole,30,Montana,Polygon
51,30051,Liberty,30,Montana,Polygon
41,30041,Hill,30,Montana,Polygon
91,30091,Sheridan,30,Montana,Polygon
23,38023,Divide,38,North Dakota,Polygon
13,38013,Burke,38,North Dakota,Polygon
75,38075,Renville,38,North Dakota,Polygon
9,38009,Bottineau,38,North Dakota,Polygon
79,38079,Rolette,38,North Dakota,Polygon
95,38095,Towner,38,North Dakota,Polygon
19,38019,Cavalier,38,North Dakota,Polygon
67,38067,Pembina,38,North Dakota,Polygon
69,27069,Kittson,27,Minnesota,Polygon
135,27135,Roseau,27,Minnesota,Polygon
5,30005,Blaine,30,Montana,Polygon
71,30071,Phillips,30,Montana,Polygon
105,30105,Valley,30,Montana,Polygon
19,30019,Daniels,30,Montana,Polygon
73,53073,Whatcom,53,Washington,Polygon
17,16017,Bonner,16,Idaho,Polygon
101,38101,Ward,38,North Dakota,Polygon
71,27071,Koochiching,27,Minnesota,Polygon
57,53057,Skagit,53,Washington,Polygon
105,38105,Williams,38,North Dakota,Polygon
49,38049,McHenry,38,North Dakota,Polygon
137,27137,St. Louis,27,Minnesota,Polygon
55,53055,San Juan,53,Washington,Polygon
85,30085,Roosevelt,30,Montana,Polygon
61,38061,Mountrail,38,North Dakota,Polygon
89,27089,Marshall,27,Minnesota,Polygon
71,38071,Ramsey,38,North Dakota,Polygon
99,38099,Walsh,38,North Dakota,Polygon
7,27007,Beltrami,27,Minnesota,Polygon
69,38069,Pierce,38,North Dakota,Polygon
7,53007,Chelan,53,Washington,Polygon
73,30073,Pondera,30,Montana,Polygon
9,53009,Clallam,53,Washington,Polygon
5,38005,Benson,38,North Dakota,Polygon
15,30015,Chouteau,30,Montana,Polygon
61,53061,Snohomish,53,Washington,Polygon
29,53029,Island,53,Washington,MultiPolygon
89,30089,Sanders,30,Montana,Polygon
75,27075,Lake,27,Minnesota,Polygon
63,38063,Nelson,38,North Dakota,Polygon
35,38035,Grand Forks,38,North Dakota,Polygon
119,27119,Polk,27,Minnesota,Polygon
113,27113,Pennington,27,Minnesota,Polygon
17,53017,Douglas,53,Washington,Polygon
53,38053,McKenzie,38,North Dakota,Polygon
31,53031,Jefferson,53,Washington,Polygon
83,30083,Richland,30,Montana,Polygon
99,30099,Teton,30,Montana,Polygon
55,30055,McCone,30,Montana,Polygon
79,16079,Shoshone,16,Idaho,Polygon
63,53063,Spokane,53,Washington,Polygon
47,30047,Lake,30,Montana,Polygon
29,27029,Clearwater,27,Minnesota,Polygon
55,16055,Kootenai,16,Idaho,Polygon
33,30033,Garfield,30,Montana,Polygon
125,27125,Red Lake,27,Minnesota,Polygon
25,53025,Grant,53,Washington,Polygon
43,53043,Lincoln,53,Washington,Polygon
49,30049,Lewis and Clark,30,Montana,Polygon
35,53035,Kitsap,53,Washington,Polygon
61,27061,Itasca,27,Minnesota,Polygon
83,38083,Sheridan,38,North Dakota,Polygon
103,38103,Wells,38,North Dakota,Polygon
55,38055,McLean,38,North Dakota,Polygon
27,38027,Eddy,38,North Dakota,Polygon
25,38025,Dunn,38,North Dakota,Polygon
27,30027,Fergus,30,Montana,Polygon
21,30021,Dawson,30,Montana,Polygon
33,53033,King,53,Washington,Polygon
13,30013,Cascade,30,Montana,Polygon
39,38039,Griggs,38,North Dakota,Polygon
91,38091,Steele,38,North Dakota,Polygon
97,38097,Traill,38,North Dakota,Polygon
45,53045,Mason,53,Washington,Polygon
63,30063,Missoula,30,Montana,Polygon
69,30069,Petroleum,30,Montana,Polygon
77,30077,Powell,30,Montana,Polygon
37,53037,Kittitas,53,Washington,Polygon
31,38031,Foster,38,North Dakota,Polygon
