,State,County,Office,FIPS,dem_total,rep_total,other_total,margin
0,Colorado,adams,Attorney General,8001,687299,501898,0,185401
1,Colorado,adams,Governor,8001,687299,501898,0,185401
2,Colorado,adams,Regent Of The University Of Colorado,8001,687299,501898,0,185401
3,Colorado,adams,Secretary of State,8001,687299,501898,0,185401
4,Colorado,adams,State Board Of Education,8001,687299,501898,0,185401
5,Colorado,adams,State Representative,8001,687299,501898,0,185401
6,Colorado,adams,Treasurer,8001,687299,501898,0,185401
7,Colorado,adams,U.S. House,8001,687299,501898,0,185401
8,Colorado,adams,State Senate,8001,687299,501898,0,185401
9,Colorado,alamosa,Attorney General,8003,24032,21759,0,2273
10,Colorado,alamosa,Governor,8003,24032,21759,0,2273
11,Colorado,alamosa,Regent Of The University Of Colorado,8003,24032,21759,0,2273
12,Colorado,alamosa,Secretary of State,8003,24032,21759,0,2273
13,Colorado,alamosa,State Representative,8003,24032,21759,0,2273
14,Colorado,alamosa,Treasurer,8003,24032,21759,0,2273
15,Colorado,alamosa,U.S. House,8003,24032,21759,0,2273
16,Colorado,arapahoe,Attorney General,8005,1057034,762411,0,294623
17,Colorado,arapahoe,Governor,8005,1057034,762411,0,294623
18,Colorado,arapahoe,Regent Of The University Of Colorado,8005,1057034,762411,0,294623
19,Colorado,arapahoe,Secretary of State,8005,1057034,762411,0,294623
20,Colorado,arapahoe,State Representative,8005,1057034,762411,0,294623
21,Colorado,arapahoe,Treasurer,8005,1057034,762411,0,294623
22,Colorado,arapahoe,U.S. House,8005,1057034,762411,0,294623
23,Colorado,arapahoe,State Board Of Education,8005,1057034,762411,0,294623
24,Colorado,archuleta,Attorney General,8007,23967,29751,0,-5784
25,Colorado,archuleta,Governor,8007,23967,29751,0,-5784
26,Colorado,archuleta,Regent Of The University Of Colorado,8007,23967,29751,0,-5784
27,Colorado,archuleta,Secretary of State,8007,23967,29751,0,-5784
28,Colorado,archuleta,State Representative,8007,23967,29751,0,-5784
29,Colorado,archuleta,State Senate,8007,23967,29751,0,-5784
30,Colorado,archuleta,Treasurer,8007,23967,29751,0,-5784
31,Colorado,archuleta,U.S. House,8007,23967,29751,0,-5784
32,Colorado,baca,Attorney General,8009,2542,11642,0,-9100
33,Colorado,baca,Governor,8009,2542,11642,0,-9100
34,Colorado,baca,Regent Of The University Of Colorado,8009,2542,11642,0,-9100
35,Colorado,baca,Secretary of State,8009,2542,11642,0,-9100
36,Colorado,baca,State Board Of Education,8009,2542,11642,0,-9100
37,Colorado,baca,State Representative,8009,2542,11642,0,-9100
38,Colorado,baca,Treasurer,8009,2542,11642,0,-9100
39,Colorado,baca,U.S. House,8009,2542,11642,0,-9100
40,Colorado,bent,Attorney General,8011,5076,9126,0,-4050
41,Colorado,bent,Governor,8011,5076,9126,0,-4050
42,Colorado,bent,Regent Of The University Of Colorado,8011,5076,9126,0,-4050
43,Colorado,bent,Secretary of State,8011,5076,9126,0,-4050
44,Colorado,bent,State Board Of Education,8011,5076,9126,0,-4050
45,Colorado,bent,State Representative,8011,5076,9126,0,-4050
46,Colorado,bent,Treasurer,8011,5076,9126,0,-4050
47,Colorado,bent,U.S. House,8011,5076,9126,0,-4050
48,Colorado,boulder,Attorney General,8013,1159893,313950,0,845943
49,Colorado,boulder,District Attorney,8013,1159893,313950,0,845943
50,Colorado,boulder,Governor,8013,1159893,313950,0,845943
51,Colorado,boulder,Regent Of The University Of Colorado,8013,1159893,313950,0,845943
52,Colorado,boulder,Secretary of State,8013,1159893,313950,0,845943
53,Colorado,boulder,State Board Of Education,8013,1159893,313950,0,845943
54,Colorado,boulder,State Representative,8013,1159893,313950,0,845943
55,Colorado,boulder,State Senate,8013,1159893,313950,0,845943
56,Colorado,boulder,Treasurer,8013,1159893,313950,0,845943
57,Colorado,boulder,U.S. House,8013,1159893,313950,0,845943
58,Colorado,broomfield,Attorney General,8014,161635,109141,0,52494
59,Colorado,broomfield,Governor,8014,161635,109141,0,52494
60,Colorado,broomfield,Regent Of The University Of Colorado,8014,161635,109141,0,52494
61,Colorado,broomfield,Secretary of State,8014,161635,109141,0,52494
62,Colorado,broomfield,State Board Of Education,8014,161635,109141,0,52494
63,Colorado,broomfield,State Representative,8014,161635,109141,0,52494
64,Colorado,broomfield,Treasurer,8014,161635,109141,0,52494
65,Colorado,broomfield,U.S. House,8014,161635,109141,0,52494
66,Colorado,chaffee,Attorney General,8015,47885,44804,0,3081
67,Colorado,chaffee,Governor,8015,47885,44804,0,3081
68,Colorado,chaffee,Regent Of The University Of Colorado,8015,47885,44804,0,3081
69,Colorado,chaffee,Secretary of State,8015,47885,44804,0,3081
70,Colorado,chaffee,State Representative,8015,47885,44804,0,3081
71,Colorado,chaffee,State Senate,8015,47885,44804,0,3081
72,Colorado,chaffee,Treasurer,8015,47885,44804,0,3081
73,Colorado,chaffee,U.S. House,8015,47885,44804,0,3081
74,Colorado,cheyenne,Attorney General,8017,1190,7356,0,-6166
75,Colorado,cheyenne,Governor,8017,1190,7356,0,-6166
76,Colorado,cheyenne,Regent Of The University Of Colorado,8017,1190,7356,0,-6166
77,Colorado,cheyenne,Secretary of State,8017,1190,7356,0,-6166
78,Colorado,cheyenne,State Board Of Education,8017,1190,7356,0,-6166
79,Colorado,cheyenne,State Representative,8017,1190,7356,0,-6166
